"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","2.9238","2.9668","2.9762","2.9238","325.92M","-1.46%"
"08/28/2025","2.9671","2.9688","3.0251","2.9454","323.45M","-0.06%"
"08/27/2025","2.9687","3.0118","3.0445","2.9629","406.39M","-1.43%"
"08/26/2025","3.0118","2.8584","3.0801","2.8517","460.83M","5.37%"
"08/25/2025","2.8582","3.0256","3.0525","2.8303","499.62M","-5.52%"
"08/24/2025","3.0252","3.0483","3.1270","2.9934","411.66M","-0.76%"
"08/23/2025","3.0483","3.0746","3.0746","2.9696","291.08M","-0.86%"
"08/22/2025","3.0748","2.8514","3.1005","2.7831","745.21M","7.83%"
"08/21/2025","2.8514","2.9513","2.9556","2.8429","288.66M","-3.38%"
"08/20/2025","2.9512","2.8598","2.9889","2.8207","442.64M","3.20%"
"08/19/2025","2.8596","3.0613","3.0798","2.8502","442.00M","-6.57%"
"08/18/2025","3.0608","3.0881","3.0956","2.9425","462.06M","-0.88%"
"08/17/2025","3.0882","3.1061","3.1467","3.0796","194.61M","-0.58%"
"08/16/2025","3.1062","3.0780","3.1562","3.0735","193.63M","0.92%"
"08/15/2025","3.0780","3.0803","3.1419","3.0037","394.49M","-0.07%"
"08/14/2025","3.0803","3.2755","3.3508","3.0317","816.61M","-5.96%"
"08/13/2025","3.2755","3.2675","3.3310","3.2050","516.66M","0.25%"
"08/12/2025","3.2674","3.1299","3.3043","3.1085","438.11M","4.39%"
"08/11/2025","3.1299","3.1873","3.3302","3.1196","543.66M","-1.80%"
"08/10/2025","3.1872","3.2251","3.2788","3.1550","330.45M","-1.17%"
"08/09/2025","3.2251","3.2850","3.3469","3.2142","350.25M","-1.82%"
"08/08/2025","3.2849","3.3195","3.3818","3.2078","701.69M","-1.05%"
"08/07/2025","3.3199","2.9908","3.3291","2.9652","536.01M","11.00%"
"08/06/2025","2.9909","2.9621","3.0170","2.9027","299.87M","0.96%"
"08/05/2025","2.9625","3.0715","3.1066","2.9179","379.96M","-3.56%"
"08/04/2025","3.0718","2.9480","3.0891","2.9338","421.91M","4.21%"
"08/03/2025","2.9477","2.7696","2.9608","2.7295","393.65M","6.44%"
"08/02/2025","2.7694","2.9604","3.0199","2.7457","477.83M","-6.46%"
"08/01/2025","2.9608","3.0220","3.0571","2.8967","691.86M","-2.02%"
"07/31/2025","3.0216","3.0958","3.1771","3.0131","363.13M","-2.40%"
"07/30/2025","3.0958","3.1282","3.1602","3.0066","459.44M","-1.03%"
"07/29/2025","3.1281","3.1223","3.1852","3.0561","422.27M","0.19%"
"07/28/2025","3.1223","3.2388","3.3296","3.1101","669.20M","-3.59%"
"07/27/2025","3.2386","3.1660","3.2504","3.1585","304.90M","2.30%"
"07/26/2025","3.1658","3.1420","3.2173","3.1094","233.60M","0.77%"
"07/25/2025","3.1417","3.1448","3.1603","3.0035","581.48M","-0.10%"
"07/24/2025","3.1448","3.1829","3.2639","2.9686","944.09M","-1.21%"
"07/23/2025","3.1834","3.5514","3.5514","3.0585","1.07B","-10.37%"
"07/22/2025","3.5515","3.5501","3.5778","3.4240","633.68M","0.03%"
"07/21/2025","3.5506","3.4554","3.6480","3.4092","714.71M","2.74%"
"07/20/2025","3.4560","3.4238","3.5559","3.3877","650.70M","0.92%"
"07/19/2025","3.4245","3.4157","3.4841","3.3578","456.83M","0.29%"
"07/18/2025","3.4148","3.4840","3.6556","3.3488","1.33B","-1.98%"
"07/17/2025","3.4836","3.0391","3.5444","2.9929","1.50B","14.64%"
"07/16/2025","3.0388","2.9192","3.0985","2.8799","714.47M","4.10%"
"07/15/2025","2.9192","2.9524","2.9549","2.8067","767.11M","-1.36%"
"07/14/2025","2.9595","2.8363","3.0288","2.8241","1.14B","4.36%"
"07/13/2025","2.8359","2.7346","2.8899","2.7249","681.40M","3.59%"
"07/12/2025","2.7376","2.7328","2.8471","2.6645","874.01M","0.18%"
"07/11/2025","2.7326","2.5444","2.9691","2.5139","1.52B","7.30%"
"07/10/2025","2.5467","2.4039","2.5667","2.3966","595.88M","5.93%"
"07/09/2025","2.4041","2.3109","2.4270","2.2979","503.37M","4.04%"
"07/08/2025","2.3107","2.2703","2.3217","2.2489","316.62M","1.73%"
"07/07/2025","2.2714","2.2707","2.3520","2.2561","477.75M","0.00%"
"07/06/2025","2.2713","2.2175","2.2882","2.2092","239.69M","2.41%"
"07/05/2025","2.2179","2.2206","2.2335","2.2021","101.86M","-0.12%"
"07/04/2025","2.2205","2.2569","2.2678","2.1977","205.03M","-1.61%"
"07/03/2025","2.2568","2.2336","2.3099","2.2257","413.63M","1.06%"
"07/02/2025","2.2332","2.1719","2.2852","2.1596","402.50M","2.82%"
"07/01/2025","2.1720","2.2366","2.2529","2.1485","353.51M","-2.91%"
"06/30/2025","2.2371","2.2064","2.3254","2.1693","443.76M","1.38%"
"06/29/2025","2.2067","2.1847","2.2193","2.1758","136.22M","0.96%"
"06/28/2025","2.1857","2.1421","2.2074","2.1347","210.29M","2.06%"
"06/27/2025","2.1417","2.1048","2.1532","2.0689","357.20M","1.75%"
"06/26/2025","2.1047","2.1857","2.2122","2.0963","342.03M","-3.70%"
